components/cards/placeholder_card.py:45:                background-color: #242424;
components/widgets/integrated_reference_panel.py:80:            'error': QColor(colors.get('palette.semantic.error', '#FF5F56')),
components/widgets/integrated_reference_panel.py:82:            'white': QColor('#ffffff'),
components/widgets/integrated_reference_panel.py:289:            text_color = QColor(colors.get('palette.text.disabled', '#666666'))
components/widgets/integrated_reference_panel.py:395:        bg_input = colors.get('palette.neutral.bg_input', '#2d2d2d')
components/widgets/integrated_reference_panel.py:396:        border_subtle = colors.get('palette.neutral.border_subtle', '#3a3a3a')
components/widgets/integrated_reference_panel.py:397:        error_color = colors.get('palette.semantic.error', '#FF5F56')
components/widgets/integrated_reference_panel.py:398:        secondary_color = colors.get('palette.text.secondary', '#888888')
components/widgets/integrated_reference_panel.py:411:                background-color: rgba(255, 255, 255, 0.2);
components/widgets/integrated_reference_panel.py:412:                border: 1px solid rgba(255, 255, 255, 0.5);
components/widgets/integrated_reference_panel.py:418:                 background-color: rgba(255, 255, 255, 0.25);
components/widgets/integrated_reference_panel.py:419:                 border: 1px solid rgba(255, 255, 255, 0.6);
components/widgets/integrated_reference_panel.py:479:        error_color = colors.get('palette.semantic.error', '#FF5F56')
components/widgets/integrated_reference_panel.py:480:        secondary_color = colors.get('palette.text.secondary', '#888888')
components/cards/image_card.py:117:                background-color: #1a1a1a;
components/cards/image_card.py:118:                border: 1px solid #3a3a5e;
components/cards/image_card.py:123:                border-color: #4CAF50;
components/cards/image_card.py:138:        self.image_label.setStyleSheet("border: 1px solid #ccc; border-radius: 4px;")
components/cards/image_card.py:153:                background-color: rgba(255, 140, 0, 210);
components/cards/image_card.py:154:                color: #ffffff;
components/cards/image_card.py:176:        prompt_label.setStyleSheet("; color: #ffffff;")
components/cards/image_card.py:191:        time_label.setStyleSheet("; color: #cccccc;")
components/cards/image_card.py:205:        model_label.setStyleSheet("; color: #cccccc;")
components/cards/image_card.py:233:                background-color: rgba(0, 0, 0, 0.72);
components/cards/image_card.py:234:                color: #ffffff;
components/cards/image_card.py:484:                background-color: #2a2a2a;
components/cards/image_card.py:486:                border: 1px solid #555;
components/cards/image_card.py:492:                background-color: #4CAF50;
components/dialogs/image_detail_dialog.py:131:        self.export_status_label.setStyleSheet("color: #bbbbbb; ;")
components/dialogs/image_detail_dialog.py:177:        zoom_info.setStyleSheet("color: #cccccc; background-color: transparent;")
components/dialogs/image_detail_dialog.py:527:                background-color: #2a2a3e;
components/dialogs/image_detail_dialog.py:528:                color: #ffffff;
components/dialogs/image_detail_dialog.py:529:                border: 1px solid #555;
components/dialogs/image_detail_dialog.py:538:                background-color: #4CAF50;
components/dialogs/image_detail_dialog.py:716:        font_tip_label.setStyleSheet("color: #888; margin: 2px 0px;")
components/dialogs/image_detail_dialog.py:739:        bg_color = colors.get('palette.neutral.bg_surface', '#1C1C1E')
components/dialogs/image_detail_dialog.py:740:        text_color = colors.get('text', '#FFFFFF')
components/dialogs/image_detail_dialog.py:751:                 background-color: {colors.get('palette.neutral.bg_card', '#2a2a3e')};
components/dialogs/image_detail_dialog.py:752:                 border-left: 1px solid {colors.get('palette.neutral.border_subtle', '#333')};
components/dialogs/image_detail_dialog.py:755:                background-color: {colors.get('palette.neutral.bg_card', '#2a2a3e')};
components/dialogs/image_detail_dialog.py:757:                border: 1px solid {colors.get('palette.neutral.border_subtle', '#555')};
components/dialogs/image_detail_dialog.py:806:        bg_tag = colors.get('palette.neutral.bg_surface', '#2a2a3e') # Dynamic background
components/dialogs/image_detail_dialog.py:807:        border_tag = colors.get('palette.neutral.border_subtle', '#555')
components/dialogs/image_detail_dialog.py:808:        text_tag = colors.get('text', '#ffffff')
components/dialogs/image_detail_dialog.py:809:        hover_bg = colors.get('palette.neutral.bg_hover', '#3a3a4e')
components/dialogs/image_detail_dialog.py:810:        success_border = colors.get('palette.semantic.success', '#4CAF50')
components/reference_assets/actions.py:72:    info_label.setStyleSheet("color: #ffb347; ;")
components/reference_assets/actions.py:84:    index_label.setStyleSheet("color: #bbbbbb; ;")
components/reference_assets/actions.py:86:    hint_label.setStyleSheet("color: #bbbbbb; ;")
components/delegates/image_card_delegate.py:47:            'surface': QColor(colors.get('palette.neutral.bg_card', '#1C1C1E')),
components/delegates/image_card_delegate.py:48:            'surface_hover': QColor(colors.get('palette.neutral.bg_hover', '#242424')),
components/delegates/image_card_delegate.py:49:            'primary': QColor(colors.get('palette.brand.main', '#5E6AD2')),
components/delegates/image_card_delegate.py:50:            'primary_pressed': QColor(colors.get('palette.brand.pressed', '#4C55AA')),
components/delegates/image_card_delegate.py:51:            'border': QColor(colors.get('palette.neutral.border_subtle', '#2A2A2A')),
components/delegates/image_card_delegate.py:52:            'text': QColor(colors.get('palette.text.primary', '#EEEEEE')),
components/delegates/image_card_delegate.py:53:            'text_secondary': QColor(colors.get('palette.text.secondary', '#888888')),
components/delegates/image_card_delegate.py:54:            'warning': QColor(colors.get('palette.semantic.warning', '#FFBC2E')),
components/delegates/image_card_delegate.py:55:            'white': QColor('#ffffff'),
components/delegates/image_card_delegate.py:56:            'placeholder_bg': QColor(colors.get('palette.neutral.bg_card', '#181818')),
components/delegates/image_card_delegate.py:57:            'placeholder_border': QColor(colors.get('palette.neutral.border_strong', '#333333')),
components/delegates/image_card_delegate.py:58:            'status_pending_text': QColor(colors.get('palette.text.secondary', '#888888')),
components/delegates/image_card_delegate.py:59:            'status_gen_text': QColor(colors.get('palette.semantic.success', '#27C93F')),
components/delegates/image_card_delegate.py:60:            'status_fail_text': QColor(colors.get('palette.semantic.error', '#FF5F56')),
components/delegates/image_card_delegate.py:61:            'loading_text': QColor(colors.get('palette.text.disabled', '#666666'))
components/delegates/image_card_delegate.py:278:        painter.setPen(c['text_secondary'] if not is_selected else QColor('#e6f4ff')) # Literal for now or add to cache
components/widgets/reference_assets_panel.py:56:        selection_color = colors.get('palette.semantic.success', '#27C93F')
components/

... [69 lines truncated] ...
